[13-Nov-2014 21:27:38 Europe/London] PHP Fatal error:  Call to a member function getItems() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 23
[13-Nov-2014 22:02:07 Europe/London] PHP Fatal error:  Call to a member function getItems() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 25
[13-Nov-2014 22:03:36 Europe/London] PHP Fatal error:  Call to a member function getItems() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 25
[13-Nov-2014 22:08:49 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\PersistentCollection::getItems() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[13-Nov-2014 22:09:15 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\PersistentCollection::getItems() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 23
[13-Nov-2014 22:11:30 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\PersistentCollection::getItems() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[13-Nov-2014 22:14:54 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\Categories::getItems() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[13-Nov-2014 22:29:30 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\PersistentCollection::getItems() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 21
[13-Nov-2014 22:32:48 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\ItemRelationships::getItemsId() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 26
[13-Nov-2014 22:33:45 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\ItemRelationships::getItemId() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 25
[22-Nov-2014 19:09:21 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\Items::setCategory() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 57
[23-Nov-2014 12:47:44 Europe/London] PHP Fatal error:  Class 'lnl\lnlBundle\Controller\Controller' not found in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/ItemsController.php on line 8
[23-Nov-2014 16:32:16 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 119013376 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[23-Nov-2014 16:32:19 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 120848384 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[23-Nov-2014 17:41:01 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\Bundle\DoctrineBundle\Registry::createQuery() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 30
[23-Nov-2014 17:43:49 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\Query::getItems() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 28
[23-Nov-2014 17:47:37 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\ItemRelationships::getItemsId() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[23-Nov-2014 17:51:38 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\Query::getResults() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 28
[23-Nov-2014 17:53:45 Europe/London] PHP Fatal error:  Call to a member function count() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 36
[23-Nov-2014 17:55:02 Europe/London] PHP Fatal error:  Call to a member function getId() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 37
[23-Nov-2014 17:55:21 Europe/London] PHP Fatal error:  Call to a member function getId() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 39
[23-Nov-2014 18:52:46 Europe/London] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 15
[23-Nov-2014 19:09:47 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\ItemRelationships::getTitle() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 35
[23-Nov-2014 19:16:14 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\ItemRelationships::getTitle() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 38
[23-Nov-2014 19:18:06 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\ItemRelationships::getTitle() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 38
[23-Nov-2014 19:20:46 Europe/London] PHP Fatal error:  Call to undefined method Knp\Bundle\PaginatorBundle\Pagination\SlidingPagination::getChildren() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 34
[23-Nov-2014 19:26:37 Europe/London] PHP Fatal error:  Call to undefined method lnl\lnlBundle\Entity\Categories::getRepository() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 17
[23-Nov-2014 19:34:15 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\PersistentCollection::getChildren() in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 18
[23-Nov-2014 21:25:40 Europe/London] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/ItemsRepository.php on line 31
[23-Nov-2014 21:27:35 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\Query::getQuery() in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/ItemsRepository.php on line 40
[23-Nov-2014 21:58:12 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\Query::select() in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/ItemsRepository.php on line 32
[23-Nov-2014 22:13:44 Europe/London] PHP Fatal error:  Call to a member function getId() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[23-Nov-2014 22:14:36 Europe/London] PHP Fatal error:  Call to a member function get_class_methods() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[23-Nov-2014 22:14:39 Europe/London] PHP Fatal error:  Call to a member function get_class_methods() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[23-Nov-2014 22:27:22 Europe/London] PHP Fatal error:  Call to a member function getId() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[23-Nov-2014 22:27:25 Europe/London] PHP Fatal error:  Call to a member function getId() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:32:51 Europe/London] PHP Fatal error:  Call to a member function getId() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:33:02 Europe/London] PHP Fatal error:  Call to a member function getId() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:33:24 Europe/London] PHP Fatal error:  Call to a member function getId() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:33:48 Europe/London] PHP Fatal error:  Call to a member function getId() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:34:05 Europe/London] PHP Fatal error:  Call to a member function getTitle() on null in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:34:14 Europe/London] PHP Fatal error:  Call to a member function getTitle() on string in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:34:25 Europe/London] PHP Fatal error:  Call to a member function getTitle() on string in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:41:35 Europe/London] PHP Fatal error:  Call to a member function getTitle() on string in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
[24-Nov-2014 21:42:23 Europe/London] PHP Fatal error:  Call to a member function getTitle() on string in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 32
